model,evaluation_setup,accuracy,roc_auc,log_loss,brier_score,notes
Pre-game model,2022-23 to 2024-25 train / 2025-26 test,0.6824,0.7357,0.5979,0.2056,Predicts winner before tip-off
Live model,2022-23 to 2024-25 train / 2025-26 test,0.7466,0.8300,0.4943,0.1664,Event-level live win probability from play-by-play
